################################################################################
# Atomic force comparison (ordered by atom index).
################################################################################
# Col  Name  Description
################################################################################
# 1    conf  Configuration index (starting with 1).
# 2    index Atom index (starting with 1).
# 3    fxRef Reference force in x direction.
# 4    fyRef Reference force in y direction.
# 5    fzRef Reference force in z direction.
# 6    fx    Force in x direction.
# 7    fy    Force in y direction.
# 8    fz    Force in z direction.
###########################################################################################################################################################################
#        1          2                        3                        4                        5                        6                        7                        8
#     conf      index                    fxRef                    fyRef                    fzRef                       fx                       fy                       fz
###########################################################################################################################################################################
         1          1   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1          2   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1          3   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1          4   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1          5   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1          6   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1          7   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1          8   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1          9   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         10   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         11   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         12   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         13   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         14   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         15   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         16   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         17   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         19   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         20   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         21   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         22   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         23   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         24   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         25   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         26   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         27   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         28   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         29   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         30   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         31   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         32   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         33   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         34   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         35   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         36   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         37   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         38   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         39   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         40   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         41   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         42   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         43   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         44   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         45   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         46   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         47   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         48   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         49   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         50   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         51   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         52   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         53   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         54   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         55   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         56   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         57   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         58   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         59   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         60   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         61   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         62   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         63   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         64   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         65   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         66   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         67   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         68   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         69   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         70   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         71   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         72   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         73   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         74   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         75   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         76   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         77   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         78   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         79   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         80   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         81   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         82   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         83   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         84   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         85   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         86   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         87   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         88   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         89   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         90   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         91   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         92   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         93   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         94   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         95   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         96   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         97   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         98   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1         99   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1        100   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1        101   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1        102   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1        103   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1        104   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1        105   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1        106   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1        107   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1        108   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1        109   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1        110   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1        111   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1        112   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1        113   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1        114   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1        115   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1        116   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1        117   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
         1        118   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00                      NAN                      NAN                      NAN
